List of files ,Subject
66(1)/2019-20/Pr.CCIT/Tech,"Information relating to pendency & Disposal of appeal(CIT-I, II & TDS(A))"
66AA/2019-20/Pr.CCIT/Tech,"DIRECT TAX DISPUTE RESOLUTION SCHEME, 2016"
66-A/2019-20/Pr.CCIT/Tech,Information relating to pendency & Disposal of appeal(Others)
66-AB/2019-20/Pr.CCIT/Tech,CORRESPONDENCE RELATING TO APPEALS MATTERS WITH CIT(A)-I
66-B/2019-20/Pr.CCIT/Tech,Monthly disposal report(CCA)
66-C/2019-20/Pr.CCIT/Tech,Fortnightly Appeal Report
66-D/2019-20/Pr.CCIT/Tech,Monthly Telegraphic Report
66-E/2019-20/Pr.CCIT/Tech,Central Action Plan for disposal of Appeals(Basket Report)
66-F/2019-20/Pr.CCIT/Tech,Review of Performance of CIT(A)-I - Quarterly & Half yearly 
66-G/2019-20/Pr.CCIT/Tech,Review of performance of CIT(A)-II - Quarterly & Half yearly 
66-H/2019-20/Pr.CCIT/Tech,Quarterly reports on agewise pendency of Appeals
66-I/2019-20/Pr.CCIT/Tech,Monthly report on pendency of High Demand & Non - HD Appeals (7 coloumn report)
66-J/2019-20/Pr.CCIT/Tech,Central Action Plan for 11-12-(CITA) matters & Statistical matters
66-K/2019-20/Pr.CCIT/Tech,CIT(A) Matters - central action plan
66-L/2019-20/Pr.CCIT/Tech,CIT(A) MATTERS - EARLY HEARING
67/2019-20/Pr.CCIT/Tech,correspondence related to centralization
67-A/2019-20/Pr.CCIT/Tech,Transfer Notification u/s 127received from CIT-I & CIT-II-centralization
67-B/2019-20/Pr.CCIT/Tech,Transfer Notification u/s 127received from CIT-I & CIT-II- other than centralization
67-C/2019-20/Pr.CCIT/Tech,Transfer Notification u/s 127 received from the offices other than cIT-I & CIT-II
67-D/2019-20/Pr.CCIT/Tech,dit-intelligence meeting 
68/2019-20/Pr.CCIT/Tech,CIB - General Correspondence
68A/2019-20/Pr.CCIT/Tech,Result of Enquiry on information under Automatic Exchange of information(AEOI) mechanism
69/2019-20/Pr.CCIT/Tech,issues relating to software
70/2019-20/Pr.CCIT/Tech,result framework document for it dept.-Mathew
71A/2019-20/Pr.CCIT/Tech,"note sumitted by cc-hubli to miss. Poonam saxena, member cbdt"
72/2019-20/Pr.CCIT/Tech,monthly report on uploading data u/s 80g on website
73/2019-20/Pr.CCIT/Tech,119(2) c Chapter IV & VI(A)
74/2019-20/Pr.CCIT/Tech,compilation of orders of ITAT
76/2019-20/Pr.CCIT/Tech,QUARTERLY REPORT ON APPEAL/WRIT
77/2019-20/Pr.CCIT/Tech,central action plan -information technology
78/2019-20/Pr.CCIT/Tech,sec 228 (insult)
68-A/2019-20/Pr.CCIT/Tech,CIB- Calling for Information
81/2019-20/Pr.CCIT/Tech,TDS MATTERS
81(1)/2019-20/Pr.CCIT/Tech,KUIDFC - TDS Matters 194A(3)(iii)
81A/2019-20/Pr.CCIT/Tech,TDS MATTERS -Standing committee
81B/2019-20/Pr.CCIT/Tech,tds matters (Misc.)
82/2019-20/Pr.CCIT/Tech,Mutual Agreement Procedure (map)
83/2019-20/Pr.CCIT/Tech,Foreign Investment Promotion Board
83-A/2019-20/Pr.CCIT/Tech,Forewx Derivative Losses
83-B/2019-20/Pr.CCIT/Tech,CLAIM OF FOREIGN TAX CREDIT
84/2019-20/Pr.CCIT/Tech,VIP references
85/2019-20/Pr.CCIT/Tech,TDS Clearance Drive
86/2019-20/Pr.CCIT/Tech,BIFR Correspondence
87/2019-20/Pr.CCIT/Tech,Approval of Hospitals u/s 17(2)
87-A/2019-20/Pr.CCIT/Tech,Approval of Hospitals u/s 17(2) - General Correspondences
88/2019-20/Pr.CCIT/Tech,TEP Circulars
88(1)/2019-20/Pr.CCIT/Tech,Report on TEPs
88(2)/2019-20/Pr.CCIT/Tech,TEP-General correspondence
88-A/2019-20/Pr.CCIT/Tech,TEP - CIT-I    
88-B/2019-20/Pr.CCIT/Tech,TEP - CIT-II
88-C/2019-20/Pr.CCIT/Tech,TEP - CCIT-II
88-D/2019-20/Pr.CCIT/Tech,TEP - CCIT-III
88-E/2019-20/Pr.CCIT/Tech,TEP - CCIT-Hubli
88-F/2019-20/Pr.CCIT/Tech,TEP - CCIT-Panaji
88-G/2019-20/Pr.CCIT/Tech,TEP - DGIT(Inv)
88-H/2019-20/Pr.CCIT/Tech,TEP- Other States
88-I/2019-20/Pr.CCIT/Tech,TEP - Incomplete Petitions
88-J/2019-20/Pr.CCIT/Tech,TEP - CIT-LTU
88-K/2019-20/Pr.CCIT/Tech,tep - dit(exe)
88-L/2019-20/Pr.CCIT/Tech,TEP-CIT(TDS)
88-M/2019-20/Pr.CCIT/Tech,TEP - by JP Sharma
88-N/2019-20/Pr.CCIT/Tech,tep - dit (int.taxn)
88-O/2019-20/Pr.CCIT/Tech,TEP - dit (inv.)
89/2019-20/Pr.CCIT/Tech,OMBUDSMAN GEN. CORRESPONDENCE
89-A/2019-20/Pr.CCIT/Tech,ORDERS RECD. FROM OMBUDSMAN
90/2019-20/Pr.CCIT/Tech,Prosecution Matter(General Correspondence)
90-A/2019-20/Pr.CCIT/Tech,Prosecution proceedings in case of N Bhaskar Reddy
90-B/2019-20/Pr.CCIT/Tech,Monthly Progress report and Quarterly Report - Prosecution
90-C/2019-20/Pr.CCIT/Tech,Prosecution proposal(kingfisher)
91/2019-20/Pr.CCIT/Tech,Refund Matter - General Correspondence
91-A/2019-20/Pr.CCIT/Tech,"Suspected Refund of RCC, b'lore"
91-B/2019-20/Pr.CCIT/Tech,Details of Refund above Rs. 10 Lakh
91-C/2019-20/Pr.CCIT/Tech,Details of Refund above Rs. 1 Lakh
92/2019-20/Pr.CCIT/Tech,Processing of Pending Returns
92-A/2019-20/Pr.CCIT/Tech,Monthly report on Speedy Processing of Returns
92-B/2019-20/Pr.CCIT/Tech,"Widening of Tax Base - Non filing of return, Issue of notice u/s 142(1)"
94/2019-20/Pr.CCIT/Tech,Examination of Demand for Grants
95/2019-20/Pr.CCIT/Tech,Audit Matters - General Correspondence
95-A/2019-20/Pr.CCIT/Tech,C& AG Report(Audit)
95-A(1)/2019-20/Pr.CCIT/Tech,correspondence relating to c&ag matters (Draft Review)
95-A(2)/2019-20/Pr.CCIT/Tech,RAP OBJECTION /strengthening of tax base
95A(3)/2019-20/Pr.CCIT/Tech,Visit of revenue audit party on exemption u/s 10(23C)
95-B/2019-20/Pr.CCIT/Tech,System Review on Assessment(C&AG)
95-C/2019-20/Pr.CCIT/Tech,Internal Audit Correspondence
95-D/2019-20/Pr.CCIT/Tech,Quarterly Report on Receipt Audit by C&AG
95-E/2019-20/Pr.CCIT/Tech,Draft Review Report on Recovery of Arrear Demand
95-F/2019-20/Pr.CCIT/Tech,Misuse of membership details of chartered accountant-tax audit report
95-G/2019-20/Pr.CCIT/Tech,Matters relating to c&ag
95-H/2019-20/Pr.CCIT/Tech,quarterly Report on Audit 
96/2019-20/Pr.CCIT/Tech,Appointment of Auditors u/s 142(2A)
97/2019-20/Pr.CCIT/Tech,Information about Bogus Purchases/INFORMATION RECEIVED FROM OTHER OFFICES
98/2019-20/Pr.CCIT/Tech,Intelligence Co-ordination - Central Excise & Customs
98-A/2019-20/Pr.CCIT/Tech,Correspondence with other Department Agencies
99/2019-20/Pr.CCIT/Tech,Tour Programme
100/2019-20/Pr.CCIT/Tech,E-Filing
100(A)/2019-20/Pr.CCIT/Tech,VERIFICATION PROCESS FOR E-FILIED RETURNS UNDER AMMENDED SECTION 140
101/2019-20/Pr.CCIT/Tech,Verification of Antecedents & Padma Awards
102/2019-20/Pr.CCIT/Tech,Rewards Proposals in case of Informants
103/2019-20/Pr.CCIT/Tech,GFR
104/2019-20/Pr.CCIT/Tech,Office Order(Internal)
104-A/2019-20/Pr.CCIT/Tech,Office Orders(CCA) & Holidays List
104-B/2019-20/Pr.CCIT/Tech,Transfer & Posting order(Gazetted)
104-C/2019-20/Pr.CCIT/Tech,Transfer & Posting order(Non - gazetted)
105/2019-20/Pr.CCIT/Tech,Lok Sabha & Rajya Sabha
106/2019-20/Pr.CCIT/Tech,election commission matters
107/2019-20/Pr.CCIT/Tech,CENTRAL REGIONAL DIRECTE TAXES
107A/2019-20/Pr.CCIT/Tech,Regional Direct Taxes Advisory Committee (RDTAC)
107B/2019-20/Pr.CCIT/Tech,Regional Direct Taxes Advisory Committee (RDTAC) BANGALORE
107C/2019-20/Pr.CCIT/Tech,Regional Direct Taxes Advisory Committee (RDTAC) mysore
107D/2019-20/Pr.CCIT/Tech,CENTRAL Direct Taxes Advisory Committee (CDTAC) 
108/2019-20/Pr.CCIT/Tech,Stationery File
109/2019-20/Pr.CCIT/Tech,Leave File
110/2019-20/Pr.CCIT/Tech,Inspection(Instruction)
110-A/2019-20/Pr.CCIT/Tech,"Inspection Report- CIT-I, II"
111/2019-20/Pr.CCIT/Tech,Miscellaneous Corresponence
111-A/2019-20/Pr.CCIT/Tech,Miscellaneous Reports
111(1)/2019-20/Pr.CCIT/Tech,Misc. Folder(radha)
111(2)/2019-20/Pr.CCIT/Tech,Misc. folder(Radha Subramaniam)
111(3)/2019-20/Pr.CCIT/Tech,Misc. Folder(jyothi)
111(4)/2019-20/Pr.CCIT/Tech,Misc. Folder(Shabana)
111(5)/2019-20/Pr.CCIT/Tech,Misc. Folder(Chandra gandhi)
111(6)/2019-20/Pr.CCIT/Tech,Misc.folder(arvind)
111(7)/2019-20/Pr.CCIT/Tech,Misc.folder(glory shalini)
112/2019-20/Pr.CCIT/Tech,Daily Report
112(1)/2019-20/Pr.CCIT/Tech,calling for the report 
113/2019-20/Pr.CCIT/Tech,Confidential Matters
115/2019-20/Pr.CCIT/Tech,One Time used folder
121/2019-20/Pr.CCIT/Tech,Official Language
123/2019-20/Pr.CCIT/Tech,Oral Evidence - Related Matter concerning IPL/BCCI
124/2019-20/Pr.CCIT/Tech,Wealth Tax Return Information
141/2019-20/Pr.CCIT/Tech,Migration of PAN
142/2019-20/Pr.CCIT/Tech,Clarification within the dept.
142 A/2019-20/Pr.CCIT/Tech,Clarification outside the dept.
143/2019-20/Pr.CCIT/Tech,Annual Information Return (AIR) - General Correspondence
144/2019-20/Pr.CCIT/Tech,apars
145/2019-20/Pr.CCIT/Tech,compounding of offence
146/2019-20/Pr.CCIT/Tech,weeding out of files 
147/2019-20/Pr.CCIT/Tech,review of performance of valuation cell
148/2019-20/Pr.CCIT/Tech,study committee on software industries
149/2019-20/Pr.CCIT/Tech,SPECIFYING AREAS FOR THE PURPOSE OF Section 2(1A) and 2(14) of the Act
150/2019-20/Pr.CCIT/Tech,STUDY TOUR OF PAC
150A/2019-20/Pr.CCIT/Tech,PAC Misc. Reports 
151/2019-20/Pr.CCIT/Tech,MATTERS RELATING TO TRANSFER PRICING DISPUTE RESOLUTION PANEL
151(1)/2019-20/Pr.CCIT/Tech,
152/2019-20/Pr.CCIT/Tech,COMMON WEALTH GAME (CWG)
153/2019-20/Pr.CCIT/Tech,EXEMPTION u/S. 10(46)  
153(1)/2019-20/Pr.CCIT/Tech,EXEMPTION u/S. 10(6C)  
154/2019-20/Pr.CCIT/Tech,petition for grant of refund 
155/2019-20/Pr.CCIT/Tech,Matters relating to NGOs
156/2019-20/Pr.CCIT/Tech,TIME BOUND ACTION IN RESEPECT OF CASES OF NON-GENUINE BILLS . 
157/2019-20/Pr.CCIT/Tech,MATTERS UNDER INVESTIGATION BY CBI
158/2019-20/Pr.CCIT/Tech,Timebound action - VAT cases
159/2019-20/Pr.CCIT/Tech,RE-OPENING OF ASSESSMENTS IN THE CASE OF BENEFICIARIES OF ACCOMODATION M/S MAHASAGAR GROUP OF CASES - KEY PERSON SHRI MUKESH CHOKSI
160/2019-20/Pr.CCIT/Tech,matters relating to itat
161/2019-20/Pr.CCIT/Tech,levy of charges by state governments on state public sector undertakings 
162/1/2019-20/Pr.CCIT/Tech,proposal for compounding of offence M/s ganesh shipping agency M'lore
162/2/2019-20/Pr.CCIT/Tech,proposal for compounding of offence M/s vikram travels & resorts pvt. ltd M'lore
162/3/2019-20/Pr.CCIT/Tech,"proposal for compounding of offence M/s aspinwall & co., M'lore"
162/4/2019-20/Pr.CCIT/Tech,"proposal for compounding of offence M/s MN Rajendra Kumar, M'lore"
162/5/2019-20/Pr.CCIT/Tech,"proposal for compounding of offence M/s yadhava kotian, M'lore"
162/6/2019-20/Pr.CCIT/Tech,"proposal for compounding of offence M/s eswari metal industries, M'lore"
162/7/2019-20/Pr.CCIT/Tech,proposal for compounding of offence M/s sargam trading & services pvt ltd. M'lore
162/8/2019-20/Pr.CCIT/Tech,"proposal for compounding of offence M/s anil preetam d'souza kadri,M'lore"
162/9/2019-20/Pr.CCIT/Tech,"proposal for compounding of offence M/s moideen naufal,M'lore"
163/2019-20/Pr.CCIT/Tech,HSBC Correspondence 
163A/2019-20/Pr.CCIT/Tech,STATUS REPORT ON PRICEWATER GROUP
164/2019-20/Pr.CCIT/Tech,Matters relating to ltu/IBM
165/2019-20/Pr.CCIT/Tech,"Formation of Technical committee in ccit(cca), bangalore"
166/2019-20/Pr.CCIT/Tech,REGIONAL TECHNICAL COMMITTEE
167/2019-20/Pr.CCIT/Tech,PRIME MINISTER'S AWARDS FOR PUBLIC ADMINISTRATION
168/2019-20/Pr.CCIT/Tech,REVAMPING THE INSTITUTIONAL MECHANISM FOR IMPLELMENTATION  OF 2ND ARC
169/2019-20/Pr.CCIT/Tech,CADRE RESTRUCTURE
170/2019-20/Pr.CCIT/Tech,ITSC - M/s. SAI PRASAD PROPERTIES
170(A)/2019-20/Pr.CCIT/Tech,QUARTERLY REPORT OF DEMANDS PENDING FOR REALIZATION AFTER ISSUANCE OF ORDER BY ITSC.
170(B)/2019-20/Pr.CCIT/Tech,MONTHLY REPORT OF CIT(DR) ITSC
170 (C)/2019-20/Pr.CCIT/Tech,ITSC - GENERAL CORRESPONDENCE
171/2019-20/Pr.CCIT/Tech,MONTHLY REPORT BY OMBUDSMAN
172/2019-20/Pr.CCIT/Tech,NATIONAL AWARD FOR e-GOVERNANCE & OTHER AWARDS
173/2019-20/Pr.CCIT/Tech,REFERENCE RECEIVED FROM RBI REGARDING APPLICATION FOR NEW BANK LICENSES FILED BY UAE EXCHANGE AND FINANCIAL SERVICES LIMITED 
174/2019-20/Pr.CCIT/Tech,"REVIEW OF PERFORMANCE OF CIT-I &II, B'LORE"
175/2019-20/Pr.CCIT/Tech,Securities Exchange Board of India
176/2019-20/Pr.CCIT/Tech,Informaion called for in respect f Banking Transactions of Smt Ayesha Bano & Sri ZUBAIR Hussain
177/2019-20/Pr.CCIT/Tech,opting out of safe harbour
178/2019-20/Pr.CCIT/Tech,"Formation of Technical committee in ccit(cca), bangalore"
179/2019-20/Pr.CCIT/Tech,TAX ADMINISTRATION REFORMS COMMISSION (TARC)
180/2019-20/Pr.CCIT/Tech,CENTRAL ACTION PLAN ('CAP')2013-14  - CATEGORIES OF  CASES FOR INITIATING PROSECUTION PROCEEDINGS
181/2019-20/Pr.CCIT/Tech,INFORMATION TO NEWS LETTER
182/2019-20/Pr.CCIT/Tech,ANNUAL REPORT FOR F.Y. 2013-14
183/2019-20/Pr.CCIT/Tech,Establishment Matters
184/2019-20/Pr.CCIT/Tech,Draft Record Management Policy
185/2019-20/Pr.CCIT/Tech,Correspondence relating to Indian Alternative Indeminte Fund 
186/2019-20/Pr.CCIT/Tech,SHARING OF INFORMATION IN THE CASES OF BENEFICIARIES OF ACCOMODATION ENTRIES = PRAVEEN KUMAR JAIN
187/2019-20/Pr.CCIT/Tech,Appeal against withdrawl of approval from Gratuity Fund
188/2019-20/Pr.CCIT/Tech,ZONAL CONFERENCE (SOUTH ZONE)
189/2019-20/Pr.CCIT/Tech,EXEMPTION U/s10(42)
190/2019-20/Pr.CCIT/Tech,REPORT IN THE MATTER OF M B SHAH COMMISSION REPORT ON ILLEGAL MINING IN GOA
191/2019-20/Pr.CCIT/Tech,COMMITTEE TO REVIEW THE CBDT INSTRUCTION ON WORK ALLOCATION OF CsIT(J)
192/2019-20/Pr.CCIT/Tech,SCRUTINY ASSESSMENTS OF FISH FARMERS
193/2019-20/Pr.CCIT/Tech,MERGER DE-MERGER AMMALGAMATION AMONGST COMPANIES
194/2019-20/Pr.CCIT/Tech,MISCELLANEOUS REPORTS TO BOARD.
195/2019-20/Pr.CCIT/Tech,NOTIFICATION U/s.127 (POST RESTRUCTURING)
196/2019-20/Pr.CCIT/Tech,PMO Reference
197/2019-20/Pr.CCIT/Tech,NEW HIERARCHY AND AO CODES OF KARNATAKA & GOA REGION
198/2019-20/Pr.CCIT/Tech,MONEY LAUNDERING/HOUSING SECTOR
199/2019-20/Pr.CCIT/Tech,TRANSFER OF FILES CONSEQUENT TO RESTRUCTURING AND CONSEQUENT TO CHANGE IN JURISDICTION.
200/2019-20/Pr.CCIT/Tech,COPIES OF LETTERS RECEIVED FROM CIT & CCIT OFFICES REGARDING TRANSFER OF FILES 
201/2019-20/Pr.CCIT/Tech,"STUDY VISIT OF THE COMMITTEE ON FINANCE TO BANGALORE ON 19TH & 20TH JANUARY, 2015"
201A/2019-20/Pr.CCIT/Tech,"STUDY VISIT OF THE COMMITTEE ON SUBORDINATE LEGISLATION, RAJYASABHA TO BANGALORE ON 21TH & 23TH MAY, 2016"
201B/2019-20/Pr.CCIT/Tech,"STUDY TOUR OF THE COMMITTEE ON GOVERNMENT ASSURANCES(2016-17) TO KOCHI, LAKSHADWEEP AND Bangalore FROM 13 TO 18 OCTOBER, 2016"
202/2019-20/Pr.CCIT/Tech,"REVIEW OF PERFORMANCE OF VARIOUS CCsIT IN THE SOUTH ZONE, BY MEMBER (IT)"
203/2019-20/Pr.CCIT/Tech,BIOMETRIC ATTENDANCE SYSTEM
204/2019-20/Pr.CCIT/Tech,PROPOSAL  TO BOARD
205/2019-20/Pr.CCIT/Tech,CIRCULATION OF GAZETTE NOTIFICATION
206/2019-20/Pr.CCIT/Tech,MATTERS RELATING TO LOKAYUKTA
207/2019-20/Pr.CCIT/Tech,COMMITTEE TO REVIEWING OFFICE PORCEDURE MANUAL
208/2019-20/Pr.CCIT/Tech,CPGRAMS GRIEVANCES
209/2019-20/Pr.CCIT/Tech,LIST OF SUPERANNUATION FUND
210/2019-20/Pr.CCIT/Tech,MAT
211/2019-20/Pr.CCIT/Tech,CORRESPONDENCE  RECEIVED FROM OTHER ENTITIES RELATING TO SEARCH CASES 
212/2019-20/Pr.CCIT/Tech,APPLICABILITY OF TRANSFER PRICING METHOD
213/2019-20/Pr.CCIT/Tech,THIRD REPORT OF THE SIT
214/2019-20/Pr.CCIT/Tech,APPLICATION  FOR ADMITTING RETIFICATION APPLICATION & ORDERS
215/2019-20/Pr.CCIT/Tech,"ENQUIRY INTO CONTENTS OF A DOSSIER CONTAINING SALE DEEDS OF PROPERTIES OWNED BY CJI, JUSTICE H.L.DATTU AND HIS WIFE - WRIT PETITION FILED BY SMT. NISHA PRIYA BHATIA WITH HON'BLE DELHI HIGH COURT."
216/2019-20/Pr.CCIT/Tech,RESULTS FRAMEWORK DOCUMENT 2015-16 
217/2019-20/Pr.CCIT/Tech,"INCOME TAX SYSTEMS SECURITY BREACH & DATA THEFT (  INCOME DATA  OF CAPTAIN VIKARAM RAJ MANOHAR BY VIVEK JOSHI, THANE (W))"
218/2019-20/Pr.CCIT/Tech,REVIEW BY REVENUE SECRETARY
219/2019-20/Pr.CCIT/Tech,OUTSTANDING WORK DONE BY OFFICERS & STAFF
220/2019-20/Pr.CCIT/Tech,CLARIFICATION REGARDING TAX TREATMENT OF MUSHROOM FARMING
221/2019-20/Pr.CCIT/Tech,HALF YEARLY REVIEW OF PERFORMANCE
222/2019-20/Pr.CCIT/Tech,INTERACTIVE SESSION OF BANGALORE CHAMBER OF INDUSTRY AND COMMERCE(BCIC)
223/2019-20/Pr.CCIT/Tech,SUGGESTIONS ON SOME INTRUSIVE SCHEME FOR UNACCOUNTED INCOME OF PROFESSIONALS.
224/2019-20/Pr.CCIT/Tech,DIVIDEND PAYMENT OF CPSEs
225/2019-20/Pr.CCIT/Tech,SETTING UP OF DEDICATED STRUCTURE FOR DELIVERY AND MONITORING OF TAX PAYERS' SERVICES
226/2019-20/Pr.CCIT/Tech,MONTHLY REPORT ON MONITORING OF CPGRAMS
227/2019-20/Pr.CCIT/Tech,STATE EXPORT EXCELLENCE AWARDS FOR THE YEAR 2014-15 VTPC
228/2019-20/Pr.CCIT/Tech,"INCOME DECLARATION SCHEME, 2016"
229/2019-20/Pr.CCIT/Tech,"Notification of ""designated authority"" under the Direct Tax Dispute Resolution Scheme, 2016"
230/2019-20/Pr.CCIT/Tech,"INFORMATION OF STUDENTS WHO HAVE PAID CAPITATION FEES/DONATION TO M/S SINHAGAD TECHNICAL EDUCATION SOCIETY(STES), PUNE FOR ADMISSION TO RESPECTIVE COURSES"
231/2019-20/Pr.CCIT/Tech,visit of committee on 23-06-2016 headed by Justice R.V. Eshwar(Retd) 
232/2019-20/Pr.CCIT/Tech,"INFORMATION ON NOTICES ISSUED UNDER ""THE BLACK MONEY (UNDISCLOSED FOREIGN INCOME AND ASSETS) AND IMPOSITION OF TAX ACT, 2015"" - REG"
233/2019-20/Pr.CCIT/Tech,"PROHIBITION OF BENAMI PROPERTY TRANSACTION ACT, 1988"
234/2019-20/Pr.CCIT/Tech,PRADHAN MANTRI GARIB KALYAN YOJANA
234A/2019-20/Pr.CCIT/Tech,PRADHAN MANTRI GARIB KALYAN YOJANA- REPORTS
235/2019-20/Pr.CCIT/Tech,APPRECIATION LETTER
236/2019-20/Pr.CCIT/Tech,"MEMO (K Uday Kumar), TA "
237/2019-20/Pr.CCIT/Tech,QUARTERLY MEETING BETWEEN PR.CCsIT & ZONAL ADsG (VIGILANCE)
238/2019-20/Pr.CCIT/Tech,Correspondence relating to M/s Kingfisher Airlines Limited/UB Group
239/2019-20/Pr.CCIT/Tech,GLOBAL ENTRY PROGRAM
240/2019-20/Pr.CCIT/Tech,SWACHH BHARAT ABHIYAN
241/2019-20/Pr.CCIT/Tech,WEEKLY REPORT OF SURVEY u/s.133A(1)/RECOVERY SURVEY FROM 01/01/2018 TO 31/03/2018 - F.Y.2017-18
242/2019-20/Pr.CCIT/Tech,STANDING EXECUTIVE BOARD(SEB) OF STPI- Bangalore
243/2019-20/Pr.CCIT/Tech,CORRESPONDENCE RELATING TO STAR-UP COMPANIES
244/2019-20/Pr.CCIT/Tech,"STATE LEVEL COORDINATION COMMITTEE (SLCC), KARNATAKA "
245/2019-20/Pr.CCIT/Tech,COMMITTEE TO SUPERVISE APPEAL EFFECT AND RECTIFICATION FORTNIGHT FROM 01.06.2018 TO 15.06.2018
246/2019-20/Pr.CCIT/Tech,COMMITTEE TO ADVICE ON IMPROVING THE QUALITY ASSESSMENTS
247/2019-20/Pr.CCIT/Tech,"CORRESPONDENCE WITH CIT(EXEMPTION), B'LURU"
248/2019-20/Pr.CCIT/Tech,TRIBUNAL SUPPORT COMMITTEE
F.No.100(1)/2019-20/Pr.CCIT/Cash,Audit Objection (Madras & AGS Audit Party)
F.No.101(1)/2019-20/Pr.CCIT/Cash,Leave Salary and advance Pay
F.No.102(1)/2019-20/Pr.CCIT/Cash,Budget Allocation
F.No.103(1)/2019-20/Pr.CCIT/Cash,Surety Bond
F.No.104(1)/2019-20/Pr.CCIT/Cash,MCA and Scooter Advance
F.No.105(1)/2019-20/Pr.CCIT/Cash,Expenditure Sanction
F.No.106(1)/2019-20/Pr.CCIT/Cash,Reimbursement of Tuition Fees
F.No.107(1)/2019-20/Pr.CCIT/Cash,Society Dues and Statements
F.No.108(1)/2019-20/Pr.CCIT/Cash,Forwarding of Cheques/DDs
F.No.109(1)/2019-20/Pr.CCIT/Cash,Earned/Comm.L/CCL etc
F.No.109(2)/2019-20/Pr.CCIT/Cash,Casual/ Restricted Leave
F.No.110(1)/2019-20/Pr.CCIT/Cash,GPF Correspondence
F.No.111(1)/2019-20/Pr.CCIT/Cash,Periodical Increments
F.No.112(1)/2019-20/Pr.CCIT/Cash,GPF Bills
F.No.113(1)/2019-20/Pr.CCIT/Cash,TDS/IT Deduction
F.No.114(1)/2019-20/Pr.CCIT/Cash,Professional Tax
F.No.115(1)/2019-20/Pr.CCIT/Cash,Salary Certificates and other Certificates
F.No.116(1)/2019-20/Pr.CCIT/Cash,LIC Premium and Advance
F.No.117(1)/2019-20/Pr.CCIT/Cash,SR & LPC (Gaz & NGAZ - IN & OUT)
F.No.118(1)/2019-20/Pr.CCIT/Cash,Misc. Correspondence
F.No.119(1)/2019-20/Pr.CCIT/Cash,Over Time Allowance (SCD & GR.D)
F.No.120(1)/2019-20/Pr.CCIT/Cash,Festical Advance
F.No.121(1)/2019-20/Pr.CCIT/Cash,Verified & Unverified Statements
F.No.122(1)/2019-20/Pr.CCIT/Cash,Assumption of Charge
F.No.123(1)/2019-20/Pr.CCIT/Cash,Pay and Allowances
F.No.124(1)/2019-20/Pr.CCIT/Cash,Travelling Allowance & LTC Bills
F.No.125(1)/2019-20/Pr.CCIT/Cash,Circulars / Notifications
F.No.126(1)/2019-20/Pr.CCIT/Cash,Cancelled and Withdrawn Bills
F.No.127(1)/2019-20/Pr.CCIT/Cash,Weeding out of Records and Files
F.No.128(1)/2019-20/Pr.CCIT/Cash,ZAO Correspondence
F.No.129(1)/2019-20/Pr.CCIT/Cash,Allotment of Govt. Quarters
F.No.130(1)/2019-20/Pr.CCIT/Cash,Pension Papers Correspondence
F.No.131(1)/2019-20/Pr.CCIT/Cash,Relieving Orders / Transfer Orders
F.No.132(1)/2019-20/Pr.CCIT/Cash,Promotion Orders / Pay Fixation Copies
F.No.133(1)/2019-20/Pr.CCIT/Cash,Honorarium Bills
F.No.134(1)/2019-20/Pr.CCIT/Cash,Right to Information Act(RTI)/IPO
F.No.135(1)/2019-20/Pr.CCIT/Cash,Medical Bills
F.No.136(1)/2019-20/Pr.CCIT/Cash,GFR 33/ Assumption of Charge/ Duty Report
