List of files ,Subject
F.No.137(1)/2019-20/Pr.CCIT/Cash,Duty Report
F.No.138(1)/2019-20/Pr.CCIT/Cash,BSNL
201(1)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF CCIT
201(2)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF CIT 
201(3)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF ADDL./JOINT CIT
201(4)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF DCIT/ACIT
201(5)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF ITO
201(7)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF ITIs
201(8)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF A.Os
201(8A)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF O.S.
201(9)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF SPS/PS/SG.I/II/III
201(10)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF STA/TA/LDC
201(12)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF STAFF CAR DRIVERS
201(14)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF NOTICE SERVERS
201(17)/2019-20/Pr.CCIT,TRANSFERS AND POSTINGS OF MULTI TASKING STAFF
201(17)/TS/2019-20/Pr.CCIT,CASUAL LABOURERS/GRANT OF TEMPORARY STATUS
201(19)/2019-20/Pr.CCIT,AGT WITHIN THE REGION OF KARNATAKA AND GOA
201(26)/2019-20/Pr.CCIT,CORRESPONDENCE SS & WS
201(27)/2019-20/Pr.CCIT,ACTION FOR REFUSAL OF PROMOTION
201(28)/2019-20/Pr.CCIT,DEPLOYMENT OF STAFF IN DEPTL. CANTEENS
202(4)/2019-20/Pr.CCIT,APPOINTMENT AND PROMOTIONS OF NON GAZETTED OFFICIALS ORDERS PASSED BY ADDL.CIT(HQ)(ADMN)
202(9)/2019-20/Pr.CCIT,"APPOINTMENT/PROMOTION ORDERS ISSUED BY PR.CCIT AND CIT(Admn.&TPS), BANGALORE "
203(5)/2019-20/Pr.CCIT,ADMINISTRATIVE/TECHNICAL MATTERS PERTAINING TO COMPUTER CENTRE
204(1)/2019-20/Pr.CCIT,ADMINISTRATIVE MATTERS PERTAINING TO WING - NOMINATION OF OFFICERS AS JOINT CUSTODIAN OF STRONG ROOM
204(4)/2019-20/Pr.CCIT,POSTING OF OFFICERS AND STAFF TO DTRTI / MSTU
204(9)/2019-20/Pr.CCIT,SETTING UP OF I.T.OMBUDSMAN AT BANGALORE
204(10)/2019-20/Pr.CCIT,"MATTERS PERTAINING TO LTU, BANGALORE"
204(11)/2019-20/Pr.CCIT,NOMINATING OFFICERS TO REPRESENT THE DEPARTMENT BEFORE ITAT BENCHES
204(12)/2019-20/Pr.CCIT,POSTING OF OFFICERS & STAFF TO CPC MATTERS PERTAINING TO CPC
204(13)/2019-20/Pr.CCIT,SETTING UP OF SECRETARIAT FOR DISPUTE RESOLUTION PANEL (DRP)
204(14)/2019-20/Pr.CCIT,MATTERS RELATING TO INTERNATIONAL TAXATION AND TRANSFER PRICING
204(15)/2019-20/Pr.CCIT,SETTING UP OF HIGH COURT CELLS IN PLACES OTHER THAN BANGALORE
204(16)/2019-20/Pr.CCIT,MATTERS RELATING TO ASK CENTRE
204(17)/2019-20/Pr.CCIT,MATTERS RELATING TO ADVANCED PRICING ARRANGEMENT
205(1)/2019-20/Pr.CCIT,CORRESPONDENCE WITH SSC-ITIs
205(2)/2019-20/Pr.CCIT,CORRESPONDENCE WITH SSC-T.As
205(3)/2019-20/Pr.CCIT,CORRESPONDENCE WITH SSC-SG.GR.II
205(4)/2019-20/Pr.CCIT,CORRESPONDENCE WITH SSC-LDC
205(9)/2019-20/Pr.CCIT,RECRUITMENT OF MERITORIOUS SPORTSMEN/WOMEN 
205(10)/2019-20/Pr.CCIT,APPOINTMENTS TO THE POST OF GR.D THROUGH EMPLOYMENT EXCHANGE/ COMPASSIONATE APPOINTMENT/ CORRESPONDENCE WITH SSC-MTS
205(13)/2019-20/Pr.CCIT,MEDICAL EXAMINATION FOR PHYSICALLY HANDICAPPED CANDIDATES SPONSORED BY SSC AND NATIONAL AWARD TO PHC
205(20)/2019-20/Pr.CCIT,VERIFICATION OF CHARACTER AND ANTECEDENTS OF GR.A OFFICERS
205(21)/2019-20/Pr.CCIT,APPOINTMENTS OF NOTICE SERVERS (DR QUOTA)
207(1)/2019-20/Pr.CCIT,APPOINTMENT OF ASSISTANT DIRECTOR/ DEPUTY DIRECTOR (OFFICIAL LANGUAGE)
207(3)/2019-20/Pr.CCIT,RECRUITMENT OF SENIOR/JUNIOR HINDI TRANSLATORS
207(7)/2019-20/Pr.CCIT,CORRESPONDENCE PERTAINING TO HINDI MATTERS
208(3)/2019-20/Pr.CCIT,RETIREMENT UNDER RULE 38 OF PENSION RULES - INVALID PENSION
208(4)/2019-20/Pr.CCIT,VOLUNTARY RETIREMENT UNDER RULE 48A OF CCS (PENSION) RULES (ON COMPLETION OF 20 YEARS OF NET QUALIFYING SERVICE. FR56K - ON ATTAINING 50/55 YEARS OF AGE OR 30 YEARS OF SERVICE.
209(5)/2019-20/Pr.CCIT,DEPARTMENTAL PROMOTION COMMITTEE
209(11)/2019-20/Pr.CCIT,GRANT OF SPECIAL PAY TO GROUP A & B OFFICERS/STAFF
209(12)/2019-20/Pr.CCIT,VIGILANCE CLEARANCE FOR RELEASING PENSIONARY BENEFITS
209(20)/2019-20/Pr.CCIT,ASSURED CAREER PROGRESSION SCHEME FOR CENTRAL GOVT. CIVILIAN EMPLOYEES
209(21)/2019-20/Pr.CCIT,PREMATURE RETIREMENT OF GOVT. SERVANTS FR-56(J) - RULE 48 OF CCS (P) RULES
210(28)/2019-20/Pr.CCIT,REALLOCATION OF SANCTIONED STRENGTH/CREATION OF POSTS
211(3)/2019-20/Pr.CCIT,OFFICE ORDERS- DO DUTY BASIS
211(13)/2019-20/Pr.CCIT,ALL INDIA CIVIL LIST OF GR.A OFFICERS
211(14)/2019-20/Pr.CCIT,ALL INDIA CIVIL LIST OF ITOs GR.B
211(25)/2019-20/Pr.CCIT,GRANT OF ADDITIONAL PAY UNDER F.R.49
211(28)/2019-20/Pr.CCIT,SC & ST ASSOCIATION
211(29)/2019-20/Pr.CCIT,MISCELLANEOUS CORRESPONDENCE - GENERAL
211(47)/2019-20/Pr.CCIT,RCM MATTER PERTAINING TO ESTABLISHMENT SECTION
211(48)/2019-20/Pr.CCIT,PARLIAMENT QUESTIONS PERTAINING TO SERVICE MATTERS
211(63)/2019-20/Pr.CCIT,NOMINATION OF SENIOR GRADE OFFICERS FOR ELECTION WORK
211(65)/2019-20/Pr.CCIT,COPIES OF ORDERS OF DISCIPLINARY AUTHORITIES
211(71)/2019-20/Pr.CCIT,LOKSABHA/RAJYASABHA PROVISIONAL STARRED QUESTION/LREPLY TO BOARD'S LETTERS
211(73)/2019-20/Pr.CCIT,GRIEVANCE PETITION RECEIVED FROM OFFICER/OFFICIAL
211(94)/2019-20/Pr.CCIT,CENSUS OF CENTRAL GOVT. EMPLOYEES
211(96)/2019-20/Pr.CCIT,REQUEST FOR REVERSION TO LOWER POST
211(105)/2019-20/Pr.CCIT,IMPLEMENTATION OF HRMS PROJECT 
212(1)/2019-20/Pr.CCIT,ANNUAL INSPECTION OF SC/ST ROSTER BY LIAISON OFFICERS
212(2)/2019-20/Pr.CCIT,APPOINTMENT OF LIAISON OFFICER FOR SC/ST/OBC/PwD
212(4)/2019-20/Pr.CCIT,SPECIAL RECRUITMENT DRIVE TO FILL UP BACKLOG RESERVED VACANCIES IN D.R AND PROMOTION QUOTA
212(5)/2019-20/Pr.CCIT,ANNUAL STATEMENT ON REPRESENTATION OF SC/ST/OBC (REPORT-I & II)
212(6)/2019-20/Pr.CCIT,RESERVATION FOR PHYSICALLY HANDICAPPED IN D.R. QUOTA
212(7)/2019-20/Pr.CCIT,RESERVATION FOR PHYSICALLY HANDICAPPED IN PROMOTION QUOTA
212(17)/2019-20/Pr.CCIT,RESERVATION ROSTERS - POST BASED - IMPLEMENTATION OF SUPREME COURT JUDGEMENT
212(18)/2019-20/Pr.CCIT,REPRESENTATIONS FOR IMPLEMENTATION OF THE SUPREME COURT JUDGEMENT IN THE CASE OF R.K. SABHARWAL VS. STATE OF PUNJAB - REG.
212(21)/2019-20/Pr.CCIT,SUBMISSION OF QUARTERLY REPORT TO THE NATIONAL COMMISSION FOR SCs(STATE OFFICE - KARNATAKA)
212(22)/2019-20/Pr.CCIT,REPRESENTATION - IMPLEMENTATION OF SUPREME COURT'D DECISION IN THE CASE OF UOI & others Vs N.R. Parmar & others - decision dtd. 27.11.2012
213(3)/2019-20/Pr.CCIT,CONFIRMATIONS/DECLARATION OF SUCCESSFUL COMPLETION OF PROBATIONERY PERIOD 
214(4)/2019-20/Pr.CCIT,RELIEVING ORDERS/ OFFICE ORDERS
214(6)/2019-20/Pr.CCIT,ALL INDIA AGT - GR.A
214(17)/2019-20/Pr.CCIT,CIRCULARS ON TRANSFER GUIDELINES - NON GAZETTED STAFF
214(19)/2019-20/Pr.CCIT,"INCOME TAX - GR. B, C, AND D RECRUITMENT RULES"
214(19A)/2019-20/Pr.CCIT,RESTRUCTURING IN DEPARTMENT - GENERAL CORRESPONDENCE
214(20)/2019-20/Pr.CCIT,POSTING OF IRS OFFICERS TO OVERSEAS INCOME TAX UNITS
221/MC/2019-20/Pr.CCIT,INFORMATION REGARDING RECRUITMENT OF MINORITIES IN INCOME TAX DEPARTMENT - HALF YEARLY REPORT
221(1)/2019-20/Pr.CCIT,STATEMENT SHOWING THE S.S & W.S OF OFFICERS AND STAFF - QUARTERLY & HALF YEARLY REPORT
221(2)/2019-20/Pr.CCIT,ANNUAL REPORT - RESERVATION OF VACANCIES FOR PHYSICALLY HANDICAPPED PERSONS
221(3)/2019-20/Pr.CCIT,ANNUAL REPORT ON REPRESENTATION ON WOMEN
221(4)/2019-20/Pr.CCIT,HRD REPORTS
221(5)/2019-20/Pr.CCIT,REPORT ON MINORITIES
221(6)/2019-20/Pr.CCIT,REPORT ON RECRUITMENT AND RESERVATION OF EX-SERVICEMEN
225(5)/2019-20/Pr.CCIT,RESIGNATION OF GR.C EMPLOYEES
/2019-20/Pr.CCIT,DISPOSITION/ESTABLISHMENT LIST AS ON 1st JANUARY
248/2019-20/Pr.CCIT,RTI CORRESPONDENCE AND INFORMATION FURNISHED TO CPIO UNDER RTI ACT
250/2019-20/Pr.CCIT,COMPLAINTS-ADMINISTRATIVE NATURE
211(105)/2019-20/Pr.CCIT,IMPLEMENTATION OF HRMS PROJECT 
240/2019-20/Pr.CCIT,GFR/duty reporting relieving
211(27)/2019-20/Pr.CCIT,CALLING FOR KARDEX PARTICULARS
245/2019-20/Pr.CCIT,ISSUE OF PENSIONER''S ID CARDS/GR.A/B/C/D
246/2019-20/Pr.CCIT,IRS PROFILE
203(6)/2019-20/Pr.CCIT,ALLOTMENT OF EMPLOYEE CODE TO OFFICERS AND STAFF
244A(1)/2019-20/Pr.CCIT,"Course for CsIT/CCsIT at NADT, Nagpur "
244A(2)/2019-20/Pr.CCIT,"Course for ADDL./JCsIT AT NADT, Nagpur"
244A(3)/2019-20/Pr.CCIT,"Course for DCs IT/AcsIT at NADT, Nagpur  "
244A(4)/2019-20/Pr.CCIT,Course for Gr. A OFFICERS at ABROAD
244A(5)/2019-20/Pr.CCIT,"Course for Gr. A OFFICERS (ACROSS CADRES) at NADT, Nagpur    "
244B(1)/2019-20/Pr.CCIT,"Course of ITO at DTRTI, Bangalore"
244B(2)/2019-20/Pr.CCIT,"Course of ITI at DTRTI, Bangalore"
244B(3)/2019-20/Pr.CCIT,"Course for Officers & Inspectors(ACROSS CADRES) at DTRTI, Bangalore "
244B(5)/2019-20/Pr.CCIT,Inspectors(ACROSS CADRES) @Others RTIs 
244C(1)/2019-20/Pr.CCIT,"Course for OS, STA, TA, MTS at MSTU, Bangalore"
244C(3)/2019-20/Pr.CCIT,"Course for Stenographers at MSTU, Bangalore"
244C(4)/2019-20/Pr.CCIT,"Course for NS/SCD at MSTU, Bangalore"
244D(2)/2019-20/Pr.CCIT,Course for Retiring Officials
244D(4)/2019-20/Pr.CCIT,Course for IRS Probationers/OJT at NADT/DTRTI
244D(6)/2019-20/Pr.CCIT,Rajbhasha Karyashala Course for Official Language 
244D(7)/2019-20/Pr.CCIT,Miscellaneous Training
244D(1)/2019-20/Pr.CCIT,Coaching Classes for SC/ST officials
226(6)/2019-20/Pr.CCIT,Deputation for Gazetted
226(7)/2019-20/Pr.CCIT,Deputation for Non-Gazetted
230(12)/2019-20/Pr.CCIT,Grant of Increments to Meritorious Sports Persons
228(1)/2019-20/Pr.CCIT,Appointment of cashiers/sanction of cash handling allowance
207(6)/2019-20/Pr.CCIT,Grant of Personal Pay for Passing Hindi Examination
218/2019-20/Pr.CCIT,ICT to Other Regions
226(4)/2019-20/Pr.CCIT,Proficiency Test for Stenographers
226(5)/2019-20/Pr.CCIT,Typing Test for LDCs
229(2)/2019-20/Pr.CCIT,Family Pension
222(2)/2019-20/Pr.CCIT,Pay Anomaly 
223(A1)/2019-20/Pr.CCIT,Pay Fixation of ex-employee pensioners
229(2)/2019-20/Pr.CCIT,Pension Correspondence
244/LDC-CT/2019-20/Pr.CCIT,Computer Skill Test for pre-restructuring LDCs/MTS
217(Exam)/2019-20/Pr.CCIT/BNG,Departmental Examination File (General Correspondence)
217(Exam)/ITOs/2019-20/Pr.CCIT,Departmental Examination of Income Tax Officers
217(Exam)/ITI/2019-20/Pr.CCIT,Departmental Examination of Inspectors
217(Exam)/MS/2019-20/Pr.CCIT,Departmental Examination of Ministerial Staff 
223(7)/2019-20/Pr. CCIT/B,Grant of Advance Increments
217(Exam)/Chief Invig./2019-20/Pr.CCIT,Appointment of Chief Invigilators for the ITO/ITI/MS Exam 
217(1)/AC/Prob/2003 onwards/Pr.CCIT,Departmental Exam of ACsIT(Probationers)- communication of Result
217/ITOs/Trang. Exam/2019-20/Pr.CCIT,Results of Newly Promoted ITOs after Orientation Course at DTRTI
220/Comp.Appt./2019-20/Pr.CCIT,Compassionate Appointment – General Correspondence
213(3)/Confirmation/2019-20/Pr.CCIT,Confirmation – Group C Cadre
205/OBC/2019-20/Pr.CCIT,Verification of OBC Claims of Group ‘C’ officials 
205/SC/ST/2019-20/Pr.CCIT,Verification of SC/ST Claims of Group ‘C’ officials 
224(2)/2019-20/Pr.CCIT/Bng.,Counting of past services 
ACRs/2019-20/Pr.CCIT/Bng,APAR Information
234(2)/CCIT/Leave/Pr.CCIT/2018,Casual Leave applications of CCsIT of the Region
234(2)/CIT/Leave/2019-20/Pr.CCIT,CL leave applications of Pr.CsIT/ CsIT
225(1)(B)/2019-20/Pr.CCIT/Bng.,Forwarding of Leave application of CCsIT to the Board
File No.234(2)/2019-20/Pr.CCIT,Earned Leave of Pr.CsiT/CsIT
234(11)/2019-20/Pr.CCIT,Reference to Board – Group A Officers
225(1)(A)/2019-20/Pr.CCIT,Study Leave
225(1)(A)/2019-20/Pr.CCIT,Grant of permission to pursue higher Studies (Both Gazetted & Non Gazetted) officials.
225(3)/CN/2019-20/Pr.CCIT,Change of Name (Both Gazetted & Non Gazetted officials ) 
225(2)/2019-20/Pr.CCIT,Change of Home Town (Both Gazetted & Non Gazetted officials ) 
225(4)/2019-20/Pr.CCIT,Change of Date of Birth (Both Gazetted & Non Gazetted officials ) 
226(2)/2019-20/Pr.CCIT,"Applications submitted by officials for different Posts to SSC, UPSC, etc "
226(3)/2019-20/Pr.CCIT,Applications submitted by officials for different posts other than SSC/UPSC 
247/SH/2019-20/Pr.CCiT,Sexual Harassment at workplace
229(3)/2019-20/Pr.CCIT,Issue of list of Govt. Servants Retiring on  Superannuation
File No.61(3)/2019-20/Pr.CCIT,Out  Sourcing and Soft Landscaping
File No 58(2)/2019-20/Pr.CCIT,Speed Post File
File No 49(3)/2019-20/Pr.CCIT,Diesel for genset CR Building and Income Tax Guest House
File No 49 (30)/2019-20/Pr.CCIT,Admistrative Approval and Expenditures of building maintainance purchase of flower pots Bouques for meeting and office cable Tv Subscription and building materials.
File No 54(4)/2019-20/Pr.CCIT,Pest control mosquito spray and rat poison
File No 49(4)/2019-20/Pr.CCIT,"Purchase of mineral water 20 ltr,500 ml,250 ml bottles."
F.NO.ITO/PR/CLFN/2019-20,Queries on Income tax
F.NO.ITO/PR/ADVT./2019-20,Release of advertisements
F.NO.ITO/PR/PRESS/2019-20,Release of Press Notes
F.NO.ITO/PR/CPGRAMS/2019-20,Redressal of Grievance petitions received online
F.NO.ITO/PR/MISC/2019-20 ,"Forwarding of miscellaneous letters like PAN transfers, TDS matters etc"
F.NO.ITO/PR/TAX RATE/2019-20,Preparation of Tax Rate Brochure for distribution to the public after taking into account the amendments
F.NO.ITO/PR/TDS CARD/2019-20,Preparation of TDS Brochure for distribution to the public after taking into account the amendments
F.NO.ITO/PR/WEBSITE/2019-20,Uploading in the department website www.incometaxbengaluru.in
F.NO.ITO/PR/TEP/2019-20,Forwarding of TEPs to DGIT(Inv.)
F.NO.ITO/PR/BOARD’S GP/2019-20,Individual files are opened for each petitioner for the paper petitions received from the Board pertaining to all the PCsIT charges of Karnataka & Goa.
F.NO.CGEWCC/2019-20,Meeting to finalize  Holidays for Central Government Offices
F.NO.CGEWCC/2019-20,Empanelment of Authrised Medical Attendants(AMAs)
F.No. 01/GC/L/Pr.CIT-2/2019-20/W/C,"Grievance petitions pertaining to Pr. CIT- 2, Bangalore.  Individual filed are opened for each petitioner for the paper petitions received. "
F.No. 01/GC/L/Pr.CIT-4/2019-20/W/C,"Grievance petitions pertaining to Pr. CIT- 4, Bangalore."
F.No. 01/GC/L/Pr.CIT-6/2019-20/W/C,"Grievance petitions pertaining to Pr. CIT- 6, Bangalore."
F.No. 01/GC/L/Pr.CIT-Klg/2019-20/W/C,Grievance petitions pertaining to Pr.CIT- Kalburgi.
F.No. 01/GC/L/Pr.CIT-Dvg/2019-20/W/C,Grievance petitions pertaining to Pr.CIT- Davangere.
F.No.ITO/PR/Printing /2019-20,Printing of ITR forms
F.No.ITO/PR/Printing /2019-20,Printing of other forms and folders.
F.No. 01/GC/L/Pr.CIT-1/2019-20/W/C,Individual files are opened for each petitioner for the paper petitions received from the assessee 
F.No. 01/GC/L/Pr.CIT-3/2019-20/W/C,-do-
F.No. 01/GC/L/Pr.CIT-7/2019-20/W/C,-do-
F.No.01/GC/L/Pr.CIT-Exmp/2019-20/W/C,-do-
F.No.01/GC/L/Pr.CIT-Int-Taxn/2019-20/W/C,-do-
F.No. 01/GC/L/Pr.CIT- Mys/2019-20/W/C,-do-
F. No.ITO/PR/CPC(Fwrd)/2019-20,"Grievance petitions received for the A.Y 16-17 and 17-18 are sent to CPC docket wise, each docket contains around 10 petitions."
F. No. ITO/PRO/SBA/2019-20,Only this year the file has been handed over to the PRO Section
F. No. Misc/Fwd/2019-20,Forwarding of miscellaneous letters to CPC and other Range offices
F.No. 01/GC/L/Pr.CIT-5/2019-20/W/C,"Grievance petitions pertaining to Pr. CIT- 5, Bangalore.  Individual filed are opened for each petitioner for the paper petitions received. "
1/RTI-MIS/2019-20,Implementation of RTI Act. Online RTI Application 
2/RTI-Appeal/2019-20,Online RTI Appeal 
3/Admn.Apprl/2019-20,Administrative approval and expenditure sanction
4/Main.Cont/2019-20,Maintenance contract of UPS/Computers
5/Tour Prgm/2019-20,Tour programme
6/C.T.B/2019-20,Computer Terminal Banks
7/Intm.Rule-18/2019-20,Intimation under Rule 18
8/Circulars/2019-20,Circulars
9/BMA/2019-20,Biometric Attendance
10/APR’s/2019-20,A.P.R’s 
11/O.L/2019-20,Official Language
12/Misc.Corrp/2019-20,Miscellaneous correspondences
F.No. 244D(9)/2019-20/Pr.CCIT,Conference held in Karnataka & Goa Region  based on requirements Vehicles requested from other charges 
F.NO.30/2019-20/Pr.CCIT ,Monthly Bills related to Guest House Maintains 
F.NO.53(2)/VEH BILLS/2019-20/Pr.CCIT ,"Hiring of Vehicle for meetings, Conference  for  visiting Officers on Tour Program"
F.No.15(4)/2019-20/Pr.CCIT,Monthly Bills for Act Cable Service and Pest Control for Guest House 
F.NO. 8(i)/ITO/PROTOCOL/2019-20,Airport Daily/3 Months /1 year passes   for the Officer
Tender  No. 61(6)/2019-20/PR. CCIT      ,Guest House Tender File     
F.No. 11/Misc./2019-20/ITO(PROTOCOL),Stationery 
Establishment Circular File/2019-20/Pr.CCIT,Circular received from Establishment section is Filed 
Technical Circular File/2019-20/Pr.CCIT,Circular received from Technical section is Filed 
Guest House Booking File/2019-20/Pr.CCIT,Guest booking request  is filed
Tour Program/2019-20/Pr.CCIT,received Tour Program  is Filed 
F.NO 29(8)/2019-20/Pr.CCIT,CORRESPONDANCE SUBORDINATE OFFICE STAFF CAR /OPERTIONAL VEHICLE 
F.NO-53(2)/2019-20/Pr.CCIT,VEHICLE BILLS FOR VISITING BILLS
F.NO 53(3)/2019-20/Pr.CCIT,A.A& E.S HIRING FOR VISITING VEHICLE.
F.NO.24/PETROL & DIESEL/2019-20/Pr.CCIT,A.A &E.S. PETROL & DIESEL BILL 
F.NO 29(5)/2019-20/Pr.CCIT,HIRING OF STAFF CARS &OPERTIONAL VEHICLE
TAPPAL FILES /2019-20/Pr.CCIT,RECIVING OF GRIAVANCE
OFFICIAL TOUR PROGRAME FILES/2019-20/Pr.CCIT,
Technical Circular File/2019-20/Pr.CCIT,
C-34(1)/2019-20/Pr.CCIT,Foreign Travel- Permission/Vigilance Clearance/Expenditure Statement
C-34(2)/2019-20/Pr.CCIT,NOC Passport - Issue of No Objection Certificate/Vig.Clearance
C-34(3)/2019-20/Pr.CCIT,CBI Correspondence
C-34(4)/2019-20/Pr.CCIT,Vigilance Reports
C-34(5)/2019-20/Pr.CCIT,Tax Evasion Petitions
C-34(6)/2019-20/Pr.CCIT,Employment Certificate for VISA
C-34(7)/2019-20/Pr.CCIT,Court Summons
C-34(8)/2019-20/Pr.CCIT,Review of Suspension
C-34(9)/2019-20/Pr.CCIT,Agreed List
C-34(10)/2019-20/Pr.CCIT,Vigilance Inspection
C-34(11)/2019-20/Pr.CCIT,Vigilance Awareness Week
C-34(12)/DP/2019-20/Pr.CCIT,DP General Correspondence forwarding of circulars
C-34(12)/COM/2019-20/Pr.CCIT,Complaints/DP
C-34(13)/2019-20/Pr.CCIT,Parliament Questions Reports
C-34(14)/2019-20/Pr.CCIT,RTI Correspondence
C-34(15)/2019-20/Pr.CCIT,Miscellaneous
C-34(15)/2019-20/Pr.CCIT,Quarterly meeting between Pr.CCIT & Zonal ADG(V)
C-54(1)/2019-20/Pr.CCIT,No Review Certifcate
C-54(2)/2019-20/Pr.CCIT,Writing of APAR
C-304(1)/2019-20/Pr.CCIT,Deficient/Part ACRs/APARs  Gr.A
C-304(2)/2019-20/Pr.CCIT,Correspondence with Ad.VI  and other charges Gr.A
C-304(4)/2019-20/Pr.CCIT,Correspondence with ACR Cell Gr.B
C-304(5)/2019-20/Pr.CCIT,Correspondence with other charges/transfer of APAR Gr.B & C
C-304(6)/2019-20/Pr.CCIT,Other Correspondence 
C-304(7)/2019-20/Pr.CCIT,APAR Transferred IN from other charges GROUP-A
C-304(8)/2019-20/Pr.CCIT,APAR Transferred OUT to other charges GROUP-A
C-304(9)/Gr-A/2019-20/Pr.CCIT,Defective APAR - GROUP 'A'
C-304(9)/ITO/2019-20/Pr.CCIT,Defective APAR - ITO
C-304(9)/2019-20/Pr.CCIT,Defective APAR - OTHERS
C-304(10)/2019-20/Pr.CCIT,Adverse Remarks/Upgradation Folders
C-352(1)/2019-20/Pr.CCIT,Intimation u/r 18(2)/(3) other permissions GAZETTED
C-352(2)/2019-20/Pr.CCIT,Intimation u/r 18(2)/(3) other permissions  NON GAZETTED
C-352(3)/2019-20/Pr.CCIT,IPR Gr.A Correspondence
C-352(4)/2019-20/Pr.CCIT,Calling for back records of IPR from other charges
C-352(5)/2019-20/Pr.CCIT,Forwarding of IPR folders to other charges
C-352(6)/2019-20/Pr.CCIT,Circular u/r 18(2) & 18(3) CCS(C)Rules
C-352(7)/2019-20/Pr.CCIT,Circular - Calling for IPRs from Gr.A & B Officers
C-352(8)/2019-20/Pr.CCIT,IPR Sent to Board
C-352(9)/2019-20/Pr.CCIT,LOKPAL
C-382(1)/2019-20/Pr.CCIT,DPC Meetings of other Departments Nomination of Members
C-393(1)/2019-20/Pr.CCIT,Vigilance Clearance on Retirement/VR
C-393(2)/2019-20/Pr.CCIT,Vigilance Clearance on grade pay of 5400 to ITOs
C-393(3)/2019-20/Pr.CCIT,Vigilance Clearance on rewards
C-393(4)/2019-20/Pr.CCIT,"Vigilance clearance for Appointment, Technical Resignation, Intercharge Transfers"
C-393(5)/2019-20/Pr.CCIT,"Vigilance Clearance for Promotion, Deputation, Training etc."
C-394(1)/2019-20/Pr.CCIT,DPC Group 'B' ITO
C-394(2)/2019-20/Pr.CCIT,DPC Group 'C' ITI
C-394(3)/2019-20/Pr.CCIT,"DPC Group 'B' OTHER CADRES AO,PS,OS,SG-1"
C-394(4)/2019-20/Pr.CCIT,"DPC Group 'C'  OTHER CADRES STA,SG-II,TA,LDC,NS,SCD"
C-394(5)/2019-20/Pr.CCIT,DPC for ACP/MACP Scheme
C-394(7)/2019-20/Pr.CCIT,Quarterly Review of Retiring Officials
C-VIG/STRY/2019-20/Pr.CCIT,Stationery/Computer Peripherals/Letter Heads
